,Period,Data-type,Sub-heading1,Sub-heading2,Files
172,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Blood pressure 0-4 years,,CHILDBLOODPRESSURE_05102010  Add this file to your basket PI: Vincent Jaddoe
173,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILDDXA6MONTHS_09112012  Add this file to your basket PI: Vincent Jaddoe
174,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILDGROWTHINCLSDS_17072015  Add this file to your basket PI: Vincent Jaddoe
175,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILD_BMIAP-PHV-PWVIinclAGE_16112015  Add this file to your basket PI: Vincent Jaddoe
176,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILD_BMIAPpeakrebound_30112022 Add this file to your basket PI: Vincent Jaddoe
177,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILDOBESITY_10122014  Add this file to your basket PI: Vincent Jaddoe
178,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILDSKINFOLD_10092015  Add this file to your basket PI: Vincent Jaddoe
179,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Growth 0-4 years,,CHILDABDOMINALUS14-24M_06052008  Add this file to your basket PI: Vincent Jaddoe
180,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Hearing 0-4 years,,CHILD_NEONATALSCREENING_hearing_11012018  Add this file to your basket PI: Marc van der Schroeff
181,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Home observation,,"HOMEVISIT0Y_03042014  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
182,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Movement 24 months,,20120229_Dataset Movement Focus 24 months  Add this file to your basket PI: Liesbeth Duijts
183,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Prechtl 0-4 years,,"PRECHTL11WEEKS_11102012  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
184,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Prechtl 0-4 years,,"PRECHTLFOCUSSUMSCORES_24052007  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
185,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Ultrasound 0-4 years,,CHILDHEART_06102010  Add this file to your basket PI: Vincent Jaddoe
186,Years 0-4 (Phase 2),Hands on measurements and ultrasounds,Ultrasound 0-4 years,,CHILDKIDNEY_05102010  Add this file to your basket PI: Vincent Jaddoe
187,Years 0-4 (Phase 2),Questionnaires,Parental behaviour combined 0-4 years,,20090326_GR1019-BSI E5  Add this file to your basket General
188,Years 0-4 (Phase 2),Questionnaires,Parental behaviour combined 0-4 years,,GR1024-BSI A8_22112016  Add this file to your basket General
189,Years 0-4 (Phase 2),Questionnaires,Parental behaviour combined 0-4 years,,BSI 3 years of age_GR1065 G1-GR1066 C1_22112016  Add this file to your basket General
190,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,CBCL_3_incl_Tscores__GR1065E2_GR1066A1_20201111 Add this file to your basket General
191,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,FAMILYREGULARITY_22022018  Add this file to your basket General
192,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,Parenting 3 years of age_GR1065 F1F6 -GR1066 B1-B5_22112016  Add this file to your basket General
193,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,SLEEPINGCHILD0-3YEARS_22112016  Add this file to your basket General
194,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,SLEEPINGCHILD2YEARS_22112016  Add this file to your basket General
195,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,FETALPERIOD_PrenatalEarlyLifeStress_14122022 Add this file to your basket General
196,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,CHILD_PostnatalEarlyLifeStress_14122022 Add this file to your basket General
197,Years 0-4 (Phase 2),Questionnaires,Child behaviour combined 0-4 years,,ELS score report_September 2022 Add this file to your basket General
198,Years 0-4 (Phase 2),Questionnaires,Child breastfeeding combined,,CHILDBREASTFEEDING_18122017  Add this file to your basket General
199,Years 0-4 (Phase 2),Questionnaires,Child breastfeeding combined,,CHILDBREASTFEEDING-GR1060_11072012  Add this file to your basket General
200,Years 0-4 (Phase 2),Questionnaires,Child disease combined,,ASTHMA-RESPIRATORY INFECTIONS-ATOPY_22112016  Add this file to your basket PI: Liesbeth Duijts
201,Years 0-4 (Phase 2),Questionnaires,Child disease combined,,PRESCHOOLWHEEZINGPATTERNS_22112016  Add this file to your basket PI: Liesbeth Duijts
202,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,A. The first days,GR1018-A_01072012  Add this file to your basket General
203,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,B. Feeding your child,GR1018-B3-9_01072012  Add this file to your basket General
204,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,B. Feeding your child,GR1018_MILK_BRAND_20082020  Add this file to your basket General
205,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,C. Your child's health,GR1018-C1_01072012  Add this file to your basket General
206,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,C. Your child's health,GR1018-C2-9_01072012  Add this file to your basket General
207,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,"D. Sleeping, crying and comforting",GR1018-D1-18_16102012  Add this file to your basket General
208,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,"D. Sleeping, crying and comforting",GR1018-D19_16102012  Add this file to your basket General
209,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,E. Your child's behaviour,GR1018-E_01072012  Add this file to your basket General
210,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1018): The first two months - your child,F. Visits to the doctor,GR1018-F_01072012  Add this file to your basket General
211,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Parental_behaviour_combined_0-4_years
212,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,A. The pregancy and child birth,GR1019-A1_22112016  Add this file to your basket General
213,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,A. The pregancy and child birth,GR1019-A5_01072012  Add this file to your basket General
214,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,A. The pregancy and child birth,GR1019-A6-10_01072012  Add this file to your basket General
215,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,A. The pregancy and child birth,GR1019-A14-15_01072012  Add this file to your basket General
216,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,B. Breastfeeding,GR1019-B_01072012  Add this file to your basket General
217,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,C. Situation at home,GR1019-C1-5_01072012  Add this file to your basket General
218,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,C. Situation at home,GR1019-C6-9_01072012  Add this file to your basket General
219,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,C. Situation at home,GR1019-C10-13_01072012  Add this file to your basket General
220,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,D. Mother's health,GR1019-D_01072012  Add this file to your basket General
221,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1019): The first two months - mother,E. Mother's feelings and emotions,GR1019-E_01072012  Add this file to your basket General
222,Years 0-4 (Phase 2),Questionnaires,Child 2 months (GR1027): Unexpected syptoms occuring the first two months after birth,,available by request from datamanagement
223,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Child_behaviour_combined_0-4_years
224,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,A. Feeding your child,GR1025-A3-15_01072012  Add this file to your basket General
225,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,B. Fever and your child,GR1025-B1-5_01072012  Add this file to your basket General
226,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,C. Your child's health,GR1025-C1_01072012  Add this file to your basket General
227,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,C. Your child's health,GR1025-C2_01072012  Add this file to your basket General
228,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,C. Your child's health,GR1025-C3-8_01072012  Add this file to your basket General
229,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,"D. Distress, coughing and sneezing",GR1025-D1-9_01072012  Add this file to your basket General
230,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,E. Accidents,GR1025-E1-6_01072012  Add this file to your basket General
231,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,"F. Sleeping, crying and comforting",GR1025-F1-11_01072012  Add this file to your basket General
232,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,"F. Sleeping, crying and comforting","GR1025-IBQ F12-F15, G1-G5_22112016  Add this file to your basket General"
233,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,G. Your child's behaviour,GR1025-G6_09102012  Add this file to your basket General
234,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,H. Taking care of your child,GR1025-H1-4_01072012  Add this file to your basket General
235,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1025): The first six months - your child,I. Contact with a GP or specialist,GR1025-I1-7_01072012  Add this file to your basket General
236,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Parental_behaviour_combined_0-4_years
237,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,A. Mother's state of health,GR1024-A_01072012 (A1-A7) Add this file to your basket General
238,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,B. Mother's work,GR1024-B_01072012  Add this file to your basket General
239,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,C. Mother's social life,GR1024-C_01072012  Add this file to your basket General
240,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,D. The situation at home,GR1024-D1-8_01072012  Add this file to your basket General
241,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1024): The first six months - mother,D. The situation at home,GR1024-D9-15_01072012  Add this file to your basket General
242,Years 0-4 (Phase 2),Questionnaires,Child 6 months (GR1053): Unexpected syptoms occuring the first six months after birth,,available by request from datamanagement
243,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,A. Feeding,GR1028-A1-17_01072012  Add this file to your basket General
244,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B1_01072012  Add this file to your basket General
245,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B2-3_01072012  Add this file to your basket General
246,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B4_01072012  Add this file to your basket General
247,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B5_01072012  Add this file to your basket General
248,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B6_01072012  Add this file to your basket General
249,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,B. Health,GR1028-B7_01072012  Add this file to your basket General
250,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,C. Fever,GR1028-C1-3_01072012  Add this file to your basket General
251,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,D. Difficulty breathing and coughing,GR1028-D1-10_01072012  Add this file to your basket General
252,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,E. Contact with the GP or specialist,GR1028-E1-3_01072012  Add this file to your basket General
253,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,F. Development and behaviour,GR1028-F1-3_01072012  Add this file to your basket General
254,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,F. Development and behaviour,GR1028-F4-14_01072012  Add this file to your basket General
255,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,G. Crying,GR1028-G1-4_01072012  Add this file to your basket General
256,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1028): My first year in generation R,H. Care,GR1028-H1-6_01072012  Add this file to your basket General
257,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1058): Unexpected syptoms occuring in the first year,,available by request from datamanagement
258,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1060): Nutrition child - one year,,CHILDNUTRITIONONEYEAR-FOODITEMSGROUPS_19092012  Add this file to your basket PI: Trudy Voortman
259,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1060): Nutrition child - one year,,CHILDNUTRITIONONEYEAR_all nutrients including breastfeeding_23082013  Add this file to your basket PI: Trudy Voortman
260,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1060): Nutrition child - one year,,CHILDNUTRITIONONEYEAR_Additional nutrients_including BF contribution_plusGI_aminoacids_190814 Add this file to your basket PI: Trudy Voortman
261,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1060): Nutrition child - one year,,"GR1060-Voedingspatroon_E-G_22112016  Add this file to your basket PI: Trudy Voortman, Pauline Jansen"
262,Years 0-4 (Phase 2),Questionnaires,Child 12 months (GR1060): Nutrition child - one year,,CHILDDietScore_1y_18052018  Add this file to your basket PI: Trudy Voortman
263,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",A. Development and behaviour,20200111_GR1029_CBCL A1_1  Add this file to your basket General
264,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",A. Development and behaviour,GR1029-A2_01102012  Add this file to your basket General
265,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",B. Upbringing,GR1029-B1_01072012  Add this file to your basket General
266,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",C. Use and understanding of language,GR1029-C1-3_01072012  Add this file to your basket General
267,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",C. Use and understanding of language,20090326_GR1029-McArthur C4  Add this file to your basket General
268,Years 0-4 (Phase 2),Questionnaires,"Child 18 months (GR1029): My 1,5 year old toddler",D. Accidents,GR1029-D1-8_01072012  Add this file to your basket General
269,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A1-2_01072012  Add this file to your basket General
270,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A3-7_01072012  Add this file to your basket General
271,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A8-9_01072012  Add this file to your basket General
272,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A10_01072012  Add this file to your basket General
273,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A11-14_01072012  Add this file to your basket General
274,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,A. Health,GR1032-A15_01072012  Add this file to your basket General
275,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,B. Fever,GR1032-B1-3_01072012  Add this file to your basket General
276,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,C. Tightness of the chest and coughing,GR1032-C1-12_01072012  Add this file to your basket General
277,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,D. Pain and the perception of pain,GR1032-D1_01072012  Add this file to your basket General
278,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,D. Pain and the perception of pain,GR1032-D2_01072012  Add this file to your basket General
279,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,D. Pain and the perception of pain,GR1032-D3-13_01072012  Add this file to your basket General
280,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,D. Pain and the perception of pain,GR1032-D14-15_01072012  Add this file to your basket General
281,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,D. Pain and the perception of pain,GR1032-D16-19_01072012  Add this file to your basket General
282,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,E. Development and behaviour,GR1032-E1-2_08102012  Add this file to your basket General
283,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,E. Development and behaviour,GR1032-E3_08102012  Add this file to your basket General
284,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,E. Development and behaviour,GR1032-E4-11_08102012  Add this file to your basket General
285,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,E. Development and behaviour,GR1032-E12-21_08102012  Add this file to your basket General
286,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,E. Development and behaviour,GR1032-E22_08102012  Add this file to your basket General
287,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,F. Sleeping and toilet training,GR1032-F1-17_01072012  Add this file to your basket General
288,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,G. Living Conditions,GR1032-G1-11_01072012  Add this file to your basket General
289,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1032): My toddler,G. Living Conditions,GR1032-G13-14_01072012  Add this file to your basket General
290,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1064): Nutrition child - two years,,FFQ_2y_NUTRIENTS_22112016  Add this file to your basket PI: Trudy Voortman
291,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1064): Nutrition child - two years,,FFQ_2y_fooditems_22112016  Add this file to your basket PI: Trudy Voortman
292,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1064): Nutrition child - two years,,CHILDNUTRITIONTWOYEARS_inclG1andAMINOACIDS_22112016 Add this file to your basket PI: Trudy Voortman
293,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1064): Nutrition child - two years,,"GR1064-Voedingspatroon_E-G_22112016  Add this file to your basket PI: Trudy Voortman, Pauline Jansen"
294,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1064): Nutrition child - two years,,CHILDDietScore_2y_18052018  Add this file to your basket PI: Trudy Voortman
295,Years 0-4 (Phase 2),Questionnaires,Child 24 months (GR1059): Unexpected syptoms occuring in the second year,,available by request from datamanagement
296,Years 0-4 (Phase 2),Questionnaires,Child 30 months (GR1062): My toddler’s development,,Parca_en_LDS_dataset_intern_gebruik_22112016  Add this file to your basket General
297,Years 0-4 (Phase 2),Questionnaires,Child 30 months (GR1062): My toddler’s development,,GR1062-E4and5_22112016  Add this file to your basket General
298,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Parental_behaviour_combined_0-4_years
299,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A1-3_01072012  Add this file to your basket General
300,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A4_01072012  Add this file to your basket General
301,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A5-6_01072012  Add this file to your basket General
302,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A7-9_01072012  Add this file to your basket General
303,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A10_01072012  Add this file to your basket General
304,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A11-22_01072012  Add this file to your basket General
305,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,A. Health,GR1065-A23-27_01072012  Add this file to your basket General
306,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,B. Fever,GR1065-B1-3_01072012  Add this file to your basket General
307,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,C. Tightness of the chest and coughing,GR1065-C1-10_01072012  Add this file to your basket General
308,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,D. Pain and the perception of pain,GR1065-D1-14_01072012  Add this file to your basket General
309,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,E. Development and behaviour,GR1065-E1_01072012  Add this file to your basket General
310,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,E. Development and behaviour,GR1065-E3-7_01072012  Add this file to your basket General
311,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,G. My own situation,GR1065-G2_01072012  Add this file to your basket General
312,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,G. My own situation,GR1065-G3-6_01072012  Add this file to your basket General
313,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,H. Visits to the doctor,GR1065-H1_01072012  Add this file to your basket General
314,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1065): My three-year-old child,X. General,GR1065-X_01072012  Add this file to your basket General
315,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1066): My three-year-old child - Partner,,See also; https://p-epi-wiki.erasmusmc.nl/wiki/genrwiki/index.php/Parental_behaviour_combined_0-4_years
316,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1066): My three-year-old child - Partner,A. The child's behaviour,GR1066-A2-15_01072012  Add this file to your basket General
317,Years 0-4 (Phase 2),Questionnaires,Child 36 months (GR1061): Unexpected syptoms occuring in the third year,,available by request from datamanagement
318,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,X. General,GR1067-X_17112021 Add this file to your basket General
319,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,A. Health,GR1067-A1-5_01072012  Add this file to your basket General
320,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,A. Health,GR1067-A6-10_01072012  Add this file to your basket General
321,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,A. Health,GR1067-A11_01072012  Add this file to your basket General
322,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,A. Health,GR1067-A12-14_01072012  Add this file to your basket General
323,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,A. Health,GR1067-A15_01072012  Add this file to your basket General
324,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,B. Welfare,GR1067-B1_01072012  Add this file to your basket General
325,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,B. Welfare,GR1067-B2-15_01072012  Add this file to your basket General
326,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,C. Movement,GR1067-C1-15_01072012  Add this file to your basket General
327,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,D. Feeding,GR1067-D1-14_01072012  Add this file to your basket General
328,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child, E. Eating Habits,GR1067-E1-3_01072012  Add this file to your basket General
329,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,F. Development and behaviour,BRIEF - 48 months_22112016  Add this file to your basket General
330,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,F. Development and behaviour,GR1067-F2-3_01072012  Add this file to your basket General
331,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,G. Visits to the doctor,GR1067-G1_01072012  Add this file to your basket General
332,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1067): My 4-year old child,H. Other pregnancies,GR1067-H1-8_01072012  Add this file to your basket General
333,Years 0-4 (Phase 2),Questionnaires,Child 48 months (GR1068): Unexpected syptoms occuring in the fourth year,,available by request from datamanagement
334,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-CRP_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
335,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-sFlt_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
336,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-FolicAcid_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
337,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-HCY_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
338,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-PIGF_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
339,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"13092019 Metabolomics_Cordblood_Imputed_FINAL PI: Vincent Jaddoe, Eric Steegers, available on request from datamanagement"
340,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILD-thyroid_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
341,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILDCORDBLOOD-VitaminB_23092013  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
342,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"CHILBIRTH-VitaminD_09092014 PI: Vincent Jaddoe, Pauline Jansen, available by request from datamanagement"
343,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Blood,"SUNLIGHTEXPOSURE_ChildBirthVitaminD_04032015 General, available by request from datamanagement"
344,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,Immuno,"CHILDTBNKF5_22022012 General, available by request from datamanagement"
345,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,Selection GENR_450kmeth_April2014  Add this file to your basket General
346,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,GENR_450KMETH_31032014_linkfile  Add this file to your basket General
347,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,"GENR.450k.Descriptives.zip, use file V:\Promovendi\EWAS (not on wiki due to filesize) General"
348,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,GENR_450kmeth_WBCcountsHouseman  Add this file to your basket General
349,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,GENR_450kmeth_WBCcountsHouseman_txt  Add this file to your basket General
350,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,GENR_450kmeth_ WBCcountsEosNeu Add this file to your basket General
351,Years 0-4 (Phase 2),Biological samples,Child 0-4 years,DNA,GENR_450kmeth_WBCcountsEosNeu_txt  Add this file to your basket General
